"(Intercept)","Internal_Mobility_Index","External_Mobility_Index","Commune"
0.172850632877175,0.0226019659369411,-0.0447158034482494,"Cerrillos"
0.427945160750489,-0.0540617245141729,-0.0612127783811763,"Cerro Navia"
0.251372101587299,-0.0273160453832318,-0.0304211447469776,"Conchali"
0.0870403764270924,-0.0173651589630783,0.0306109866092587,"El Bosque"
-0.474497710128975,0.109837438657702,0.0293880520328396,"Estacion Central"
-0.135015726967224,0.0533798989574116,0.00401106405967807,"Huechuraba"
0.287841177469877,-0.144275693805044,0.0254004346139781,"Independencia"
0.168906753820082,-0.0642384495009845,-0.0203682948459928,"La Cisterna"
-0.508670615151736,0.10669833599406,0.0379384810767659,"La Florida"
0.193011199811471,-0.127059052837053,-0.0174431435924507,"La Granja"
0.450267444758472,-0.0318332112609881,-0.0635549148930887,"La Pintana"
-0.510231602337116,-0.103875985361185,0.13262170139494,"La Reina"
-0.442018771026918,0.046420122067918,0.0340881060704843,"Las Condes"
-0.0719335338069476,-0.000296853255266794,0.0387195593772933,"Lo Barnechea"
0.453242441349816,-0.0448836357449441,-0.0683568399811973,"Lo Espejo"
0.211509679855745,0.00799249479446058,-0.0389721450243322,"Lo Prado"
-0.00133432810542246,-0.102113052780133,0.0646709957116385,"Macul"
-0.187899123381005,0.0452490100550801,0.128271850361906,"Maipu"
-0.477635018859652,0.0171907042061176,0.0939559739535064,"Nunoa"
-0.199729820642659,-0.00123728157921495,0.0383216440778248,"Pedro Aguirre Cerda"
-0.24544757886743,-0.055426474418843,0.12862490086486,"Penaflor"
-0.202867160916249,0.0793041589843378,-0.0567365479445172,"Providencia"
0.37441793037509,-0.0614442120183895,-0.030053842018372,"Pudahuel"
0.503395471893102,-0.0418480595687707,-0.0628005579137973,"Puente Alto"
0.0354160821710796,0.0769109230417312,-0.0392254521085238,"Quilicura"
0.33346898164693,-0.034652058765767,-0.0407231397204222,"Quinta Normal"
-0.309678212155575,0.0470864971672406,0.0707424539520919,"Recoleta"
0.465880383083145,-0.0360924158019994,-0.067725222721759,"Renca"
0.211970172897184,0.0302670644803338,-0.0464891947032618,"San Bernardo"
-0.0588839346978734,0.0193596706468157,0.00313749316916569,"San Joaquin"
-0.147730833882183,0.0600287333080238,0.00720101616278847,"San Miguel"
-0.192447962982972,-0.018932455793918,0.0415010716743248,"San Ramon"
-0.268738996330748,0.28614313156341,-0.302731737756658,"Santiago"
-0.193775060511404,-0.0415183284967637,0.0823249746215246,"Vitacura"
